rowid,prof7_id,humus,DEPTH,ndvi_mean_years,ndvi_years_range,ndvi_mean_summer,ndvi_summer_range,mean_slope,sd_slope,median_slope,q5_slope,q95_slope,mean_aspect,sd_aspect,median_aspect,q5_aspect,q95_aspect,mean_twi,sd_twi,median_twi,q5_twi,q95_twi,dem1k,tm_1,tm_2,tm_3,tm_4,tm_5,tm_6,tm_7,tm_8,tm_9,tm_10,tm_11,tm_12,rr_mean,rr_range,soil_unit,landcover,lithology
11,1000064,1.3,10,0.682078719,0.076486528,0.789798498,0.151938498,0.118585691,0.066486217,0.120157845,0.008602735,0.226343438,2.312755585,1.657112598,2.016268969,0.299454361,5.89487505,6.372425556,0.92039448,6.441388607,4.953315258,7.68225193,253.9180756,-0.854291975,1.464707375,5.669108868,10.46265507,14.9604702,18.39389801,20.12742043,19.73693275,15.67937851,10.57845879,5.015423775,0.305740863,731.9203491,444.8000488,12,93,2
12,1000065,1.6,10,0.517202795,0.111817956,0.595658779,0.206980228,0.163564503,0.087023363,0.155516326,0.03616162,0.32083112,2.727457762,1.565293312,2.501162529,0.383290261,5.581404209,5.180619717,0.722422779,5.007745743,4.26965332,6.595715046,313.1207886,-0.905412793,1.376883864,5.557025909,10.33516979,14.81191921,18.2273159,19.98187637,19.59606361,15.56132793,10.47370148,4.881271362,0.241361409,714.1593018,495.3999939,12,126,6
13,1000066,2.4,10,0.507994235,0.185001612,0.62158227,0.261238456,0.038118906,0.040759925,0.017238766,0.004714769,0.116442762,2.027435541,1.401317835,1.790289879,0.305534035,4.8124156,8.369542122,0.610635817,8.49566555,7.14236784,9.009600639,347.1918335,-0.823482811,1.385261297,5.530125618,10.33932209,14.78488255,18.18197823,19.9861412,19.62282753,15.56621456,10.46930027,4.861694813,0.329524338,722.289856,572,3,122,2
14,1000067,1.7,10,0.573396444,0.112819195,0.666701317,0.257561564,0.12545611,0.085898153,0.126906514,0.010519914,0.276448667,2.258611679,1.504049897,1.991447687,0.406043708,4.91889143,6.705610275,0.924019039,6.785354137,5.146487713,7.863491535,396.558136,-0.952925146,1.210723639,5.331602097,10.13850307,14.57739258,17.97039604,19.78094673,19.42605209,15.38214684,10.30956841,4.691299438,0.197895035,724.1576538,549.5,4,122,6
15,1000068,2,10,0.612143099,0.081900001,0.72845608,0.179161549,0.041103113,0.047340836,0.019487999,0.007760348,0.145272747,2.967671633,0.830601633,2.918211222,1.77506423,4.354991436,6.931509018,0.737205565,6.856026649,5.649693012,7.981176853,250.6685944,-0.881848037,1.472976327,5.685647964,10.40333366,14.90013695,18.37062263,20.08138275,19.67791176,15.63683605,10.60002708,5.069604397,0.251093507,731.4067993,536.7000122,NA,91,2
16,1000069,2,10,0.439136624,0.063823074,0.572440147,0.283492327,0.008179725,0.01109107,0.005450841,0.001538943,0.022865502,2.786669016,1.317034364,2.832161903,0.581074297,5.375473976,10.18045139,0.555568516,10.34461594,9.210803986,11.02889061,233.1543274,-0.872990727,1.491134048,5.724549294,10.50485897,15.01839828,18.47152519,20.16752434,19.76451683,15.71209049,10.63704205,5.088191986,0.280344456,721.7067871,458.3000488,6,122,2
17,1000070,1.2,10,0.683205903,0.104941368,0.764846861,0.11409235,0.159472033,0.073535368,0.154391795,0.041058701,0.294334114,3.163481474,2.133640766,2.987850666,0.121765122,6.18127346,5.258856773,0.907804608,4.939284325,4.318132401,7.363073349,270.9493408,-0.899343908,1.422301173,5.621432781,10.39528275,14.89100647,18.3318367,20.06610298,19.67413902,15.62022591,10.53447247,4.978220463,0.256205559,720.3271484,476.1000366,NA,91,6
18,1000071,1.4,10,0.499845237,0.179541737,0.580219388,0.231591225,0.026256965,0.02049703,0.020694083,0.004759894,0.068469301,2.945425272,1.133049607,3.081307888,0.678495288,4.682924747,8.499507904,0.677880228,8.375160217,7.599482536,9.83286953,251.3599548,-0.786194623,1.516096592,5.713586807,10.51223183,15.00415516,18.43483162,20.18297005,19.79734802,15.73203373,10.61626625,5.05644083,0.37684527,711.0678101,443.4000244,7,122,2
19,1000072,1.6,10,0.585432589,0.13472116,0.684400856,0.176999986,0.160386369,0.077619664,0.155097067,0.044556532,0.297312886,2.699048758,1.737842798,2.072447062,0.405689687,5.849188805,5.186769962,0.550300419,5.105074883,4.422149181,6.099168777,339.5120239,-0.880481184,1.382087588,5.548195839,10.32985878,14.79898834,18.20494461,19.97290993,19.59415054,15.55966091,10.46550083,4.865310669,0.265828341,708.2322388,475.7000427,4,93,6
20,1000073,2.4,10,0.497034371,0.095463961,0.580724478,0.135946095,0.017525811,0.023568569,0.009666704,0.003089712,0.059772026,2.526846409,1.217819095,2.38979435,0.739589393,4.643968582,9.53543663,0.642545521,9.498908043,8.489200592,10.64045811,321.5326843,-0.761973739,1.461201668,5.617003918,10.43322086,14.88403511,18.28694916,20.08496475,19.72061348,15.65598869,10.54374027,4.946892738,0.397102237,696.6389771,547.0999756,7,12,2
21,1000074,2.7,10,0.57400769,0.125763476,0.67163837,0.144115388,0.076992452,0.044647422,0.078273356,0.010051882,0.148282811,2.869124651,1.484466195,2.879071474,0.840938151,4.68363142,7.219450951,0.799222708,7.299984932,5.754518032,8.292593002,363.8377991,-0.934745789,1.241961718,5.369190693,10.17669487,14.61796093,18.0102272,19.81787872,19.4594593,15.41593266,10.33695984,4.718672276,0.217304543,699.7525635,541.6000366,3,122,6
22,1000075,2.4,10,0.636995852,0.108271122,0.717110813,0.115138412,0.203954294,0.108638622,0.182996869,0.070844509,0.429394186,2.454537153,1.221729398,2.025481701,0.960567415,4.610707283,5.119558334,0.58134824,5.085439682,4.284605026,6.075903893,511.5168762,-1.21765995,0.799753726,4.820421219,9.635848045,14.01752377,17.44785309,19.3100605,18.98778152,14.92177963,9.977419853,4.390564919,-0.067359209,766.5254517,569,4,11,2
23,1000076,1.6,10,0.6521523,0.089057684,0.775749087,0.121807694,0.219195768,0.089871265,0.212943658,0.085275546,0.38054356,2.398185968,1.94141984,2.211955786,0.144569978,6.10224247,4.737347603,0.458254904,4.631861687,4.13071537,5.614281654,253.2996979,-0.936276674,1.417025447,5.633679867,10.37141228,14.87331867,18.33533859,20.04018593,19.6391201,15.59737301,10.54904366,5.010706425,0.204729363,723.1830444,532.4000244,NA,91,2
24,1000077,1.7,10,0.582609653,0.123974979,0.692200601,0.165523052,0.139404923,0.074417174,0.141586959,0.0271075,0.261675358,3.722730875,1.56906426,3.955471754,1.613909483,5.86680603,5.724898815,0.894567966,5.748140812,4.435302258,7.222669125,321.9826355,-1.107435822,1.20892024,5.397485256,10.10209084,14.58734322,18.04485893,19.76478958,19.36938286,15.34700584,10.32575226,4.782740116,0.019573539,733.0135498,474.8999634,5,122,6
25,1000078,0.8,10,0.574280679,0.094536543,0.679275393,0.16130054,0.165467367,0.065573566,0.161940426,0.054395862,0.281615704,3.037380457,1.791054249,2.923603773,0.493016779,5.529283524,5.097603798,0.740381122,4.866359711,4.249591351,6.60571003,325.0322571,-1.091935515,1.213554144,5.400109291,10.12415314,14.60806465,18.05451965,19.78214836,19.38871002,15.3630228,10.32963371,4.774604797,0.041306719,718.6847534,461.7999878,1,93,6
26,1000079,1.5,10,0.72264564,0.152005792,0.819862783,0.172461569,0.126224503,0.052865978,0.121478871,0.051592827,0.228482962,2.280073166,1.580768585,1.960490942,0.2201415,5.428686619,5.376672268,0.56123209,5.287010193,4.536079884,6.481952667,347.4590149,-0.905576825,1.327080011,5.473920345,10.25827694,14.70882988,18.10663795,19.89562607,19.52438545,15.48929405,10.40967751,4.798700809,0.237752885,707.3762817,524.7999878,NA,91,6
27,1000080,4.3,10,0.472513705,0.115880728,0.552002192,0.161143392,0.025578685,0.039398249,0.012046643,0.003224261,0.093855277,2.360333681,1.374020696,2.167084217,0.533758819,4.925270557,8.658521652,1.138931155,8.937056541,6.718389034,9.958540916,301.395813,-0.839693844,1.396900296,5.55620575,10.35420895,14.82845879,18.23107338,20.01834297,19.64718437,15.58694935,10.46703148,4.886949062,0.322471291,694.6677856,516.6000366,3,11,2
28,1000081,2.3,10,0.553979814,0.09360382,0.618808806,0.144992292,0.085324846,0.03549381,0.082300231,0.030588426,0.148238152,3.737841845,1.316259146,4.410151482,1.766297936,5.281535625,6.17636919,0.57580179,6.063703537,5.437260151,7.226116657,383.2783203,-0.962165117,1.211349845,5.334253788,10.13655376,14.57769299,17.96694946,19.77504158,19.41664886,15.37827682,10.30505753,4.68327713,0.18575725,691.5559692,528.5999756,3,122,25
29,1000082,3.25,10,0.634622037,0.129011512,0.717853606,0.125938475,0.132354245,0.057693336,0.127335757,0.048089106,0.230702698,3.577876091,1.619327426,4.115774155,0.679978371,5.8233881,5.355551243,0.492074072,5.295388222,4.70199728,6.372806072,454.6815796,-1.144887924,0.939876437,5.010688782,9.812599182,14.21856213,17.6323452,19.46886253,19.13378906,15.08076286,10.08321476,4.472683907,0.001394212,717.6389771,536.8000488,NA,122,6
30,1000083,2.7,10,0.662541926,0.123134673,0.767612576,0.10642308,0.242675111,0.117328987,0.240952566,0.044861533,0.44416666,3.212077379,1.473300219,3.443138599,1.075243115,5.144507885,5.097272873,1.057318568,4.958693981,3.725250244,6.830513477,457.5508423,-1.064516187,0.968162954,5.001749516,9.848615646,14.23452759,17.66881371,19.53376198,19.21211052,15.10830498,10.12195206,4.565254211,0.105221435,791.0610352,600,8,91,2
31,1000084,1.5,10,0.752624631,0.058677256,0.829773247,0.079599977,0.138994679,0.058020554,0.132337034,0.052071713,0.242720246,3.186910152,1.467839122,3.238693237,1.092413783,5.282505989,5.380590916,0.711350679,5.289253235,4.429655552,6.635529041,329.4854736,-1.203854561,1.093824625,5.263614178,9.958220482,14.43367958,17.88101768,19.61276627,19.21910858,15.21288204,10.20626068,4.646412373,-0.086358674,735.354248,498.7000122,NA,91,6
32,1000085,2.2,10,0.762110531,0.077907562,0.812912464,0.085446179,0.144222662,0.061567854,0.143132076,0.045489993,0.248065561,3.121910334,1.468839049,2.832008362,0.598252594,5.233154774,5.140630245,0.570601165,5.059879303,4.393265724,6.298010349,362.8986206,-0.937944233,1.278785467,5.414106369,10.19723225,14.64261913,18.03714752,19.83261299,19.46634865,15.43437862,10.36016941,4.74720335,0.20500274,696.1068115,482.4999695,NA,93,6
33,1000086,2,10,0.646874011,0.096434295,0.720489085,0.134261549,0.083552346,0.058616471,0.074851945,0.008165537,0.197958067,2.908678055,1.40339458,2.730104446,1.045321941,5.195963383,7.23558569,0.793903768,7.371224403,5.660683632,8.146966934,315.5154114,-0.83690542,1.366704941,5.514953613,10.32392693,14.77033901,18.17412376,19.97463226,19.61388779,15.5519495,10.45243359,4.859632969,0.321213782,684.5423584,539.2000122,NA,122,2
34,1000087,4.125,10,0.606987834,0.201169223,0.694915473,0.20653075,0.125816107,0.0808964,0.106727548,0.033358395,0.277873695,3.281787872,1.211603642,3.525725365,1.427841783,4.95686388,5.569134712,0.417881221,5.52265358,5.02585125,6.381498814,466.5874329,-1.196309447,0.888081312,4.954155445,9.740366936,14.14953518,17.55740166,19.39089775,19.05380058,15.01536751,10.02938747,4.414745808,-0.056861669,710.8356323,527.9000244,4,91,25
35,1000088,3.3,10,0.644946337,0.115748048,0.746478736,0.141892314,0.250161678,0.105312116,0.234591424,0.100652687,0.452468455,3.829681873,1.401637435,4.121441841,1.57581234,5.735289574,4.764929295,0.659300804,4.610580444,3.879259348,6.046515465,569.2565918,-1.343794465,0.608968258,4.582695484,9.380678177,13.73832703,17.18237305,19.06766129,18.76656723,14.69853115,9.820940971,4.230960369,-0.207162395,765.1288452,589.7000732,4,126,18
36,1000089,3.6,10,0.70513314,0.133405745,0.812975645,0.114223063,0.301248848,0.096863084,0.291024745,0.15871191,0.495814949,4.354522228,1.409729958,4.708955765,0.443257123,5.892298698,4.447305202,0.66457957,4.385313511,3.54017663,5.931873322,671.546875,-1.759294748,0.047843773,3.876872778,8.55460453,12.91137218,16.3337574,18.22722816,17.94374084,13.97796631,9.262356758,3.695197821,-0.657408416,795.6779785,604.5999756,NA,91,25
37,1000090,2.1,10,0.364538878,0.074592322,0.441227734,0.11980772,0.096267246,0.113644078,0.047737747,0.00314594,0.324219882,3.153572798,2.311578274,3.637105227,0.113463081,6.14702034,6.713738918,1.61219871,6.820590973,4.307038307,9.900967598,272.8901978,-0.807381094,1.141262412,5.212547779,10.0381918,14.60535812,18.09621429,19.99480629,19.64056969,15.44209099,10.11593819,4.715847492,0.424248219,637.7763062,435.3000183,4,31,6
38,1000091,1.4,10,0.571000099,0.15135771,0.678276241,0.244269192,0.185545817,0.08059331,0.183603078,0.044911291,0.318622887,3.009418726,1.726786017,3.047373533,0.33228597,5.575987339,4.859085083,0.627071619,4.719911575,4.084444046,6.165154457,326.941864,-1.054647326,1.240821004,5.417714596,10.0973444,14.57646275,18.03635597,19.77047539,19.38001633,15.35480213,10.33736992,4.811808109,0.070229642,738.9101563,484.6999512,1,12,6
39,1000092,2,10,0.516551912,0.198623091,0.607049763,0.290776908,0.104798824,0.060966346,0.100287557,0.009416712,0.210037097,2.144035339,1.532920003,1.429267406,0.493463129,4.887765408,6.146358013,1.258540154,5.814083099,4.884783745,8.441214561,273.2774963,-0.82001096,1.436178803,5.609267235,10.40906811,14.89723873,18.31782532,20.09505272,19.71987534,15.64531136,10.51774216,4.960056782,0.349917978,708.2830811,465.6000061,5,122,2
40,1000093,2.1,10,0.579232931,0.103259623,0.655445337,0.163829148,0.115518406,0.096285015,0.082399294,0.039868858,0.36396724,2.83069706,0.980013728,2.612567902,1.441630483,4.488825798,6.173219681,0.577155828,6.078303814,5.278287888,7.227547646,389.0321655,-1.030426502,1.12543416,5.231793404,10.03386974,14.47249889,17.86214638,19.68255997,19.32963371,15.28319263,10.22094059,4.605875969,0.122416623,716.6491699,533.8000488,5,126,25
41,1000094,2.9,10,0.486187518,0.090580761,0.562943339,0.150699973,0.011166052,0.015456422,0.006147285,0.00152715,0.042828444,2.523720503,1.310012102,2.426931858,0.529787004,4.965696335,9.54345417,0.843368173,9.733661652,8.248889923,10.83859444,257.5538025,-0.80024606,1.463087559,5.637096882,10.437006,14.93020821,18.35892677,20.13559341,19.75965118,15.6769495,10.54521656,4.999434948,0.374138892,708.4949341,450.9000244,7,122,2
42,1000095,2.2,10,0.550421178,0.155686527,0.646982551,0.223923028,0.053863242,0.058717024,0.023892885,0.003672448,0.173125803,1.907812834,1.49730432,1.436863899,0.270524204,5.09574461,7.588227749,1.121379018,7.829120636,5.30708456,8.83969593,268.7857056,-0.853526533,1.394353747,5.559568405,10.36084747,14.85185909,18.27454758,20.05784607,19.68362617,15.60372925,10.4735918,4.922598839,0.320174962,688.3169556,478.4000244,7,122,6
43,1000096,1.7,10,0.655869722,0.102812171,0.744923592,0.128692329,0.060028914,0.051111195,0.0445325,0.01002926,0.158884749,3.187407017,1.782276511,3.386276484,0.651661098,5.698321819,7.104915619,0.818718195,7.358039856,5.453585148,8.225634575,342.7093201,-0.967933297,1.223874927,5.355467319,10.17751408,14.63414478,18.04000092,19.85147667,19.49054146,15.42008495,10.32282639,4.728587627,0.197238937,678.4169312,520.2000732,NA,122,25
44,1000097,2.4,10,0.578866065,0.120167315,0.64947778,0.099315405,0.089817569,0.084011316,0.072349593,0.005021987,0.251442581,2.438114882,1.539880872,2.088318348,0.536714554,5.669155598,6.88931179,1.087563872,7.411111832,4.908666134,8.071048737,361.0249329,-0.852679074,1.253865719,5.362301826,10.23567772,14.67618942,18.12036705,19.98545647,19.64393044,15.49788189,10.37987995,4.806751251,0.326571912,720.430542,566.0999756,NA,12,6
45,1000098,1.9,10,0.527254879,0.131032705,0.601196468,0.182407677,0.112702563,0.071698807,0.096552886,0.022199411,0.246754855,2.254498243,1.111883044,2.251225948,0.63844347,4.164071083,6.185742378,0.867327929,6.198516846,4.81868124,7.65128231,315.1125793,-0.769409537,1.176376581,5.271487236,10.09477425,14.63212204,18.09223175,19.99682999,19.64182663,15.45867252,10.18693256,4.715565205,0.425833791,672.4542236,471.6000061,3,125,6
46,1000099,1.9,10,0.48486492,0.134236544,0.572669029,0.125392318,0.046467122,0.03071598,0.043860201,0.006374386,0.08805868,2.635335207,1.694338322,2.847225428,0.198998079,5.958974361,7.986504078,0.462497681,8.070056915,7.075701714,8.586301804,230.1952209,-0.46293056,1.519451857,5.652405739,10.54339027,15.07359219,18.54870033,20.47088623,20.11700439,15.88409615,10.53225803,5.069519997,0.753362477,624.0067749,432.0000305,7,122,6
47,1000100,4.5,10,0.684336782,0.074892282,0.830255568,0.143907726,0.113057375,0.046616454,0.121111259,0.01758847,0.179639205,3.098602295,1.397317886,3.668739796,1.116092205,4.844583988,6.510002613,0.71207571,6.565290451,5.207386017,7.582484245,253.1795349,-0.895981431,1.378017306,5.551394463,10.32070637,14.8154459,18.25663948,20.02145958,19.64010429,15.56943512,10.46651173,4.929830551,0.267933309,704.7999878,485.2000122,NA,91,6
48,1000101,1.7,10,0.625686049,0.12520963,0.696928084,0.255571425,0.082852535,0.037140392,0.083619982,0.016333573,0.138065726,1.785799384,1.05407083,1.41356349,0.818923533,4.252442837,6.812871456,0.932279706,6.854815483,5.525975227,8.12426281,280.8600464,-0.955713511,1.270283699,5.422252655,10.2103672,14.69773102,18.11587524,19.9019146,19.53157425,15.46268368,10.34600925,4.793022633,0.215828314,662.5440674,500.3000183,NA,91,6
49,1000102,4.6,10,0.733605564,0.091382682,0.850964427,0.135215402,0.269666612,0.079547018,0.257639468,0.1625278,0.410895944,2.702943087,2.354511738,1.298904657,0.168496192,6.117615223,4.484544754,0.425916076,4.426996231,3.943861961,5.245147228,635.8096313,-1.489311099,0.411351979,4.339940071,9.101215363,13.46008778,16.89087677,18.77556038,18.48168373,14.44740105,9.618398666,4.036355972,-0.361290336,845.2932129,668.1999512,NA,91,25
50,1000103,2.2,10,0.771693408,0.078478813,0.825208366,0.091099977,0.111713931,0.072849251,0.115468986,0.005832786,0.218469903,3.300369978,1.049571514,3.681761742,1.097528815,4.47634697,6.281811237,1.276200652,5.959799767,4.742807865,8.470376015,431.2281189,-1.025915861,1.042986631,5.121049881,9.960762978,14.38685131,17.82039642,19.68510246,19.35095787,15.23714733,10.17843151,4.594435215,0.13860032,721.7305298,573.5,NA,91,6
51,1000104,1.2,10,0.503170311,0.176936537,0.542835832,0.27580002,0.063136086,0.043499693,0.053527147,0.020614067,0.134719983,2.286475897,1.268198848,2.257703781,0.354097098,4.121857643,7.706889629,0.294618666,7.691088676,7.253507137,8.247561455,368.5360718,-0.912602544,1.164575934,5.264406681,10.11980247,14.58884716,18.03042412,19.90032768,19.5497551,15.40666676,10.26757813,4.69929409,0.263860017,708.6813965,547.5,1,122,6
52,1000105,2.1,10,0.574402988,0.108541489,0.654722571,0.128330767,0.130959317,0.075366043,0.114280432,0.022718336,0.274783552,3.836652756,1.101117492,4.070573807,1.863663435,5.401683331,5.817447662,0.637816548,5.654819489,4.995683193,7.246284008,404.5655212,-1.142372847,0.822157085,4.830344677,9.606158257,14.09751225,17.54559326,19.41525459,19.07050323,14.94740105,9.862137794,4.377655506,0.035210505,728.5119019,471.1000366,1,122,6
53,1000106,1.7,10,0.494674325,0.163705796,0.568065345,0.174553841,0.126892433,0.082408361,0.108470604,0.032954291,0.303450853,2.348360538,1.741189957,2.018275023,0.207488209,5.95260334,6.679308414,0.829544961,6.665640831,5.132354259,7.985900879,295.0788574,-0.697785676,1.266518116,5.37476778,10.21389866,14.74893379,18.2141819,20.12083054,19.7623291,15.56968975,10.28392601,4.80545187,0.497184277,676.3220215,476.7999878,1,122,6
54,1000107,1.2,10,0.50721395,0.148357719,0.593576014,0.224099994,0.0519826,0.04482669,0.038978379,0.011455685,0.118960224,2.781075001,2.155951738,1.995042562,0.166613221,6.13641119,7.762443542,0.88790375,8.131103516,5.942392349,8.706045151,220.9435272,-0.387670875,1.612704515,5.758966923,10.6627121,15.18824482,18.66485977,20.59056854,20.23220444,15.99076271,10.63351536,5.159011364,0.823346078,637.8254395,446.5,5,122,6
55,1000108,2.5,10,0.501871884,0.067557245,0.583598673,0.082650542,0.054290079,0.036568165,0.04760056,0.011107316,0.124935694,1.861399174,2.019437313,0.922159314,0.139550477,6.127034664,7.135310173,0.459781319,7.022050858,6.572229862,8.010424614,208.4123535,-0.264707476,1.724532485,5.900218964,10.82228851,15.32074928,18.78195,20.72326469,20.37501335,16.12971878,10.77178764,5.27064991,0.947539628,609.8457642,426.6000366,NA,12,2
56,1000109,2.3,10,0.512434244,0.114220411,0.589066923,0.199707717,0.021343451,0.021126797,0.014611728,0.003615474,0.060890786,3.15729332,2.166624069,3.25302124,0.154046118,6.123903275,9.135826111,0.48622635,9.243141174,8.17617321,9.725870132,247.8692322,-0.466484427,1.482078195,5.611071587,10.49118614,15.01249313,18.47635651,20.40385437,20.05418205,15.82728863,10.48772526,5.025084972,0.740049243,614.9356079,427.9000244,1,122,6
57,1000110,10.2,10,0.636449218,0.118901908,0.75829345,0.123846173,0.157095045,0.073671676,0.14683038,0.054940958,0.285795152,2.985040665,1.857710361,3.244929552,0.241128296,5.995147705,5.073523045,0.520088673,5.027327538,4.300991058,6.073332787,274.7038879,-0.91618371,1.364253402,5.539830685,10.26265526,14.75199604,18.20613098,19.95601463,19.57460403,15.51663876,10.44726658,4.931921005,0.235811934,690.6694946,502.8000183,NA,122,6
58,1000111,1.7,10,0.707109332,0.075436532,0.787735283,0.142123044,0.108653106,0.037115451,0.112095505,0.040346894,0.165381476,2.931130648,1.922195911,2.695341349,0.184123859,6.132215977,5.516700745,0.425409287,5.456954002,4.860348225,6.307991982,276.756958,-0.948277771,1.315912843,5.480836391,10.25056553,14.74740314,18.18488693,19.95765495,19.57673645,15.50516987,10.40390968,4.866723061,0.216648445,687.5372925,480.5000305,NA,91,6
59,1000112,2,10,0.53882134,0.085353851,0.62770474,0.13101542,0.059619345,0.029885685,0.057816193,0.014100449,0.110141791,2.212759972,1.35229516,1.451726913,0.880159259,4.333592892,7.33879137,0.804813981,7.204336166,6.081708908,8.78331852,260.4684448,-0.846965551,1.401242018,5.56342268,10.37048054,14.86837101,18.29774094,20.08687782,19.71208382,15.62144089,10.48110962,4.941412449,0.333378881,654.9694824,596.2999878,7,122,6
60,1000113,2,10,0.717013836,0.073576868,0.790905356,0.127023101,0.157601833,0.11312563,0.129769802,0.023840299,0.39524278,3.153877497,2.203725338,3.952116966,0.177064881,6.07455349,5.557599545,0.688088477,5.484097481,4.604500294,6.800138474,377.4537048,-0.971596479,1.118178606,5.211099148,10.05697727,14.50929451,17.9494915,19.81320381,19.46708679,15.33963299,10.23775291,4.661016941,0.199562609,705.0780029,563.5,NA,93,6
